course_code,section,day_of_the_week,start_time,end_time,classroom
1704250,A,Lunes,10:40:00,11:30:00,101
1704255,A,Lunes,12:20:00,13:10:00,101
1705160,A,Lunes,14:00:00,14:50:00,101
1704253,A,Martes,08:50:00,09:40:00,101
1704248,A,Martes,11:30:00,12:20:00,101
1704248,B,Martes,14:00:00,15:40:00,101
1704142,C,Martes,17:40:00,18:30:00,101
1704255,A,Miércoles,07:00:00,08:40:00,101
1704249,A,Miércoles,08:50:00,09:40:00,101
1704251,A,Miércoles,10:40:00,11:30:00,101
1704254,B,Miércoles,14:00:00,15:40:00,101
1704252,A,Jueves,07:00:00,08:40:00,101
1704250,A,Jueves,08:50:00,10:30:00,101
1704248,A,Jueves,10:40:00,11:30:00,101
1704248,B,Jueves,14:00:00,15:40:00,101
1704142,B,Jueves,17:40:00,18:30:00,101
1704254,A,Viernes,07:00:00,08:40:00,101
1704252,A,Viernes,08:50:00,10:30:00,101
1704249,A,Viernes,10:40:00,11:30:00,101
1705160,A,Viernes,14:00:00,14:50:00,101
1702227,A,Lunes,07:00:00,07:50:00,202
1702228,A,Lunes,10:40:00,11:30:00,202
1702226,A,Lunes,12:20:00,13:10:00,202
1702226,B,Lunes,14:00:00,14:50:00,202
1702225,B,Lunes,17:40:00,18:30:00,202
1702225,A,Martes,07:50:00,08:40:00,202
1702228,A,Martes,09:40:00,10:30:00,202
1702227,B,Martes,11:30:00,12:20:00,202
1702225,B,Martes,14:00:00,14:50:00,202
1702227,A,Miércoles,07:00:00,07:50:00,202
1702224,A,Miércoles,08:50:00,09:40:00,202
1702228,B,Miércoles,09:40:00,10:30:00,202
1702227,B,Miércoles,12:20:00,13:10:00,202
1702224,B,Miércoles,15:50:00,16:40:00,202
1702224,A,Jueves,08:50:00,09:40:00,202
1702225,A,Jueves,10:40:00,11:30:00,202
1702227,B,Jueves,12:20:00,13:10:00,202
1702224,B,Jueves,15:50:00,16:40:00,202
1702229,A,Viernes,07:00:00,08:40:00,202
1702229,B,Viernes,18:30:00,19:20:00,202
1703241,A,Lunes,07:00:00,07:50:00,203
1703238,A,Lunes,10:40:00,11:30:00,203
1703239,A,Lunes,12:20:00,13:10:00,203
1703131,A,Lunes,15:50:00,16:40:00,203
1703236,A,Martes,08:50:00,09:40:00,203
1703241,A,Martes,09:40:00,10:30:00,203
1703236,A,Martes,11:30:00,12:20:00,203
1704142,B,Martes,17:40:00,18:30:00,203
1703240,A,Miércoles,07:00:00,07:50:00,203
1703239,A,Miércoles,10:40:00,11:30:00,203
1703237,A,Miércoles,12:20:00,13:10:00,203
1703237,B,Miércoles,14:00:00,14:50:00,203
1703239,B,Miércoles,15:50:00,16:40:00,203
1703236,A,Jueves,07:00:00,07:50:00,203
1703238,A,Jueves,08:50:00,09:40:00,203
1703240,A,Jueves,10:40:00,11:30:00,203
1703237,A,Jueves,12:20:00,13:10:00,203
1703237,B,Jueves,14:00:00,15:40:00,203
1703241,B,Jueves,15:50:00,16:40:00,203
1704142,C,Jueves,17:40:00,18:30:00,203
1703131,A,Viernes,07:00:00,07:50:00,203
1703236,A,Viernes,10:40:00,11:30:00,203
1703241,B,Viernes,14:00:00,14:50:00,203
1703239,B,Viernes,15:50:00,16:40:00,203
1702228,B,Lunes,12:20:00,13:10:00,301
1705267,A,Lunes,13:10:00,14:00:00,301
1705271,A,Lunes,15:50:00,16:40:00,301
1704142,A,Lunes,17:40:00,18:30:00,301
1705265,A,Martes,12:20:00,13:10:00,301
1705270,A,Martes,13:10:00,14:00:00,301
1705269,A,Martes,14:50:00,15:40:00,301
1704142,A,Martes,17:40:00,18:30:00,301
1705265,A,Miércoles,12:20:00,13:10:00,301
1704142,A,Miércoles,13:10:00,14:00:00,301
1705271,A,Miércoles,14:50:00,15:40:00,301
1705268,A,Miércoles,16:40:00,18:30:00,301
1704142,B,Jueves,12:20:00,13:10:00,301
1705268,A,Jueves,14:50:00,15:40:00,301
1704142,A,Jueves,16:40:00,17:30:00,301
1701102,A,Lunes,07:00:00,08:40:00,105
1701107,A,Lunes,11:30:00,12:20:00,105
1702121,A,Lunes,14:00:00,14:50:00,105
1702120,A,Martes,12:20:00,13:10:00,105
1701102,A,Miércoles,07:00:00,08:40:00,105
1701104,A,Miércoles,08:50:00,09:40:00,105
1704142,C,Miércoles,14:00:00,14:50:00,105
1701106,A,Jueves,10:40:00,11:30:00,105
1704142,C,Jueves,15:50:00,17:30:00,105
1702121,A,Viernes,12:20:00,13:10:00,105
